id;name;description;max_support_weight;length;width;height;weight;date_created;date_updated
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617;33370;60111;2019-10-22;2019-10-21
2;Movies Producer;Implementation Electronics Officer;61748;30424;61165;52475;706;2019-10-22;2019-10-22
3;Namibia;Steel zero administration;36636;23277;45606;9060;78517;2019-10-21;2019-10-22
4;Cambridgeshire Mississippi;HDD;68030;17052;45049;6505;1326;2019-10-21;2019-10-21
5;South Dakota envisioneer Music;Nakfa;44015;68326;12203;60999;49517;2019-10-21;2019-10-22
6;Regional;Tuna;75536;31171;42515;52006;20794;2019-10-21;2019-10-21
7;Industrial;connect Markets Chief;59789;72727;92187;32654;8849;2019-10-21;2019-10-22
8;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;58675;35675;96525;28093;60703;2019-10-21;2019-10-22
9;scalable;Small;98688;42340;77224;39488;19871;2019-10-22;2019-10-22
10;overriding;monitor 1080p Checking Account;92630;35846;65107;11586;91495;2019-10-21;2019-10-21
